code,name,market,market_cap,naver_group,best_sector,best_corr,2nd_sector,2nd_corr,3rd_sector,3rd_corr
274090,켄코아에어로스페이스,KOSDAQ,2979,우주항공과국방,우주·위성,0.7664,로봇,0.6423,자동차_완성차,0.6252
311320,지오엘리먼트,KOSDAQ,1344,반도체와반도체장비,반도체_중소형,0.7658,반도체_소재부품,0.7624,반도체_장비,0.7303
100120,뷰웍스,KOSDAQ,2982,건강관리장비와용품,시멘트,0.7656,유통,0.7584,우주·위성,0.7511
297570,알로이스,KOSDAQ,525,전자제품,석유화학,0.7651,디스플레이,0.7282,건자재,0.7103
071670,에이테크솔루션,KOSDAQ,920,기계,자동차_완성차,0.7651,자동차_부품,0.7616,우주·위성,0.6907
002230,피에스텍,KOSDAQ,1621,전기제품,자동차_완성차,0.7647,자동차_부품,0.7115,비철금속,0.6288
475430,키스트론,KOSDAQ,997,전기장비,철강,0.7646,IT부품,0.7148,유통,0.6897
012320,경동인베스트,KOSPI,1452,비철금속,건자재,0.7644,시멘트,0.7339,디스플레이,0.697
099220,SDN,KOSDAQ,760,에너지장비및서비스,신재생에너지,0.7644,내수식품,0.562,건설,0.5354
189860,서전기전,KOSDAQ,803,전기장비,전력기기,0.7641,건설,0.7281,우주·위성,0.6844
063170,서울옥션,KOSDAQ,1126,판매업체,게임,0.764,미디어·콘텐츠,0.7616,레저·여행,0.7536
104480,티케이케미칼,KOSDAQ,2049,화학,해운,0.7639,신재생에너지,0.6819,석유화학,0.6784
360350,코셈,KOSDAQ,710,전자장비와기기,건설,0.7636,신재생에너지,0.7348,해운,0.7254
036170,에이치엠넥스,KOSDAQ,4786,디스플레이장비및부품,건설,0.7632,우주·위성,0.7139,전력기기,0.7052
210540,디와이파워,KOSPI,1551,기계,석유화학,0.7631,건자재,0.7372,패션·의류,0.7237
220260,켐트로스,KOSDAQ,1722,화학,자동차_부품,0.763,중소제약,0.5917,타이어,0.5862
